College:,Course:,Number of Students:
Lucy Cavendish,Law Tripos,11
Lucy Cavendish,Linguistics Tripos,1
Lucy Cavendish,Mathematical Tripos,5
Lucy Cavendish,Medicine,8
Lucy Cavendish,Medicine (Graduate Course),9
Lucy Cavendish,Mod & Med Langs Tripos,4
Lucy Cavendish,Natural Sciences Tripos,16
Lucy Cavendish,Philosophy Tripos,2
Lucy Cavendish,Psych & Behav Sciences Tripos,8
Lucy Cavendish,"Theo,Relig,&Philo of Re Tripos",2
Lucy Cavendish,Veterinary Medicine,3
Magdalene,ASNC Tripos,1
Magdalene,Archaeology Tripos,1
Magdalene,Architecture Tripos,3
Magdalene,Asian & Middle Eastern Studies,2
Magdalene,Chem Eng via Nat Sciences,2
Magdalene,Classical Tripos,2
Magdalene,Computer Science Tripos,3
Magdalene,Economics Tripos,4
Magdalene,Education Tripos,1
Magdalene,Engineering Tripos,10
Magdalene,English Tripos,6
Magdalene,Geographical Tripos,1
Magdalene,Historical Tripos,4
Magdalene,History & Politics Tripos,2
Magdalene,History of Art Tripos,1
Magdalene,"Hum, Soc & Pol Sciences Tripos",5
Magdalene,Land Economy Tripos,3
Magdalene,Law Tripos,8
Magdalene,Linguistics Tripos,2
Magdalene,Mathematical Tripos,4
Magdalene,Medicine,7
Magdalene,Mod & Med Langs Tripos,5
Magdalene,Music Tripos,1
Magdalene,Natural Sciences Tripos,12
Magdalene,Philosophy Tripos,1
Magdalene,Psych & Behav Sciences Tripos,3
Magdalene,"Theo,Relig,&Philo of Re Tripos",2
Magdalene,Veterinary Medicine,3
Murray Edwards,Architecture Tripos,1
Murray Edwards,Asian & Middle Eastern Studies,1
Murray Edwards,Chem Eng via Nat Sciences,1
Murray Edwards,Classical Tripos,2
Murray Edwards,Computer Science Tripos,5
Murray Edwards,Economics Tripos,5
Murray Edwards,Engineering Tripos,4
Murray Edwards,English Tripos,8
Murray Edwards,Geographical Tripos,3
Murray Edwards,Historical Tripos,5
Murray Edwards,History & Politics Tripos,2
Murray Edwards,History and Mod Lang Tripos,1
Murray Edwards,History of Art Tripos,2
Murray Edwards,"Hum, Soc & Pol Sciences Tripos",8
Murray Edwards,Land Economy Tripos,2
Murray Edwards,Law Tripos,5
Murray Edwards,Linguistics Tripos,1
Murray Edwards,Mathematical Tripos,6
Murray Edwards,Medicine,9
Murray Edwards,Mod & Med Langs Tripos,7
Murray Edwards,Music Tripos,2
Murray Edwards,Natural Sciences Tripos,13
Murray Edwards,Psych & Behav Sciences Tripos,2
Murray Edwards,"Theo,Relig,&Philo of Re Tripos",2
Murray Edwards,Veterinary Medicine,4
Newnham,ASNC Tripos,2
Newnham,Archaeology Tripos,2
Newnham,Architecture Tripos,2
Newnham,Asian & Middle Eastern Studies,2
Newnham,Chem Eng via Engineering,1
Newnham,Chem Eng via Nat Sciences,1
Newnham,Classical Tripos,5
Newnham,Classical Tripos Four Year,2
Newnham,Computer Science Tripos,2
Newnham,Engineering Tripos,9
Newnham,English Tripos,9
Newnham,Geographical Tripos,6
Newnham,Historical Tripos,7
Newnham,History & Politics Tripos,2
Newnham,History and Mod Lang Tripos,1
Newnham,History of Art Tripos,1
Newnham,"Hum, Soc & Pol Sciences Tripos",7
Newnham,Land Economy Tripos,3
Newnham,Law Tripos,6
Newnham,Linguistics Tripos,3
Newnham,Mathematical Tripos,4
Newnham,Medicine,8
Newnham,Mod & Med Langs Tripos,8
Newnham,Music Tripos,1
Newnham,Natural Sciences Tripos,17
Newnham,Philosophy Tripos,2
Newnham,Psych & Behav Sciences Tripos,4
Newnham,"Theo,Relig,&Philo of Re Tripos",3
Newnham,Veterinary Medicine,2
Pembroke,Architecture Tripos,3
Pembroke,Asian & Middle Eastern Studies,2
Pembroke,Classical Tripos,4
Pembroke,Classical Tripos Four Year,1
Pembroke,Computer Science Tripos,5
Pembroke,Economics Tripos,5
Pembroke,Education Tripos,2
Pembroke,Engineering Tripos,17
Pembroke,English Tripos,9
Pembroke,Geographical Tripos,2
Pembroke,Historical Tripos,10
Pembroke,History & Politics Tripos,2
Pembroke,History and Mod Lang Tripos,1
Pembroke,History of Art Tripos,1
